name_en,name_fr,acronym_en,acronym_fr,url_en,url_fr,date_added,user_submitted
Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,ocl,cal,https://lobbycanada.gc.ca/,https://lobbycanada.gc.ca/,2019-07-04,1
Office of the Commissioner of Official Languages,Commissariat aux langues officielles,ocol,clo,https://www.clo-ocol.gc.ca/en,https://www.clo-ocol.gc.ca/fr,2019-05-08,1
Parks Canada,Parcs Canada,pc,pc,http://www.pc.gc.ca/eng/index.aspx,http://www.pc.gc.ca/fra/index.aspx,2018-08-07,0
Privy Council Office,Bureau du Conseil privé,pco,bcp,http://www.pco-bcp.gc.ca/index.asp?lang=eng,http://www.pco-bcp.gc.ca/index.asp?lang=fra,2018-08-07,0
Public Health Agency of Canada,Agence de la santé publique du Canada,phac,aspc,http://www.phac-aspc.gc.ca/index-eng.php,http://www.phac-aspc.gc.ca/index-fra.php,2018-08-07,0
Public Prosecution Service of Canada,Service des poursuites pénales du Canada,ppsc,sppc,https://www.ppsc-sppc.gc.ca/eng/,https://www.ppsc-sppc.gc.ca/fra/,2019-06-02,1
Public Safety Canada,Sécurité publique Canada,ps,sp,http://www.publicsafety.gc.ca/index-eng.aspx,http://www.securitepublique.gc.ca/index-fra.aspx,2018-08-07,0
Public Service Commission of Canada,Commission de la fonction publique du Canada,psc,cfp,http://www.psc-cfp.gc.ca/index-eng.htm,http://www.psc-cfp.gc.ca/index-fra.htm,2018-08-07,0
Public Services and Procurement Canada,Services publics et de l'Approvisionnement,pwgsc,tpsgc,http://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html,https://www.canada.ca/fr/services-publics-approvisionnement.html,2018-08-07,0
Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp,grc,http://www.rcmp-grc.gc.ca/en,http://www.rcmp-grc.gc.ca/fr,2018-08-07,0
Shared Services Canada,Services partagés Canada,ssc,spc,https://www.canada.ca/en/shared-services.html,https://www.canada.ca/fr/services-partages.html,2018-08-07,0
Statistics Canada,Statistique Canada,statcan,statcan,http://www.statcan.gc.ca/start-debut-eng.html,http://www.statcan.gc.ca/start-debut-fra.html,2018-08-07,0
Transport Canada,Transports Canada,tc,tc,http://www.tc.gc.ca/eng/menu.htm,http://www.tc.gc.ca/fra/menu.htm,2018-08-07,0
Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,tbs,sct,http://www.tbs-sct.gc.ca/tbs-sct/index-eng.asp,http://www.tbs-sct.gc.ca/tbs-sct/index-fra.asp,2018-08-07,0
Veterans Affairs Canada,Anciens combattants Canada,vac,acc,http://www.veterans.gc.ca/eng,http://www.veterans.gc.ca/fra,2018-08-07,0
Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada,wd,deo,http://www.wd.gc.ca/eng/home.asp,http://www.wd.gc.ca/fra/accueil.asp,2018-08-07,0
